strm,anonymized_emplid,acad_career,Anonymized_Crs_ID,crs_Campus,crs_Level,primary_section,MON,TUES,WED,THURS,FRI,SAT,SUN,Anonymized_Primary_Course_ID,Anonymized_Concurrent_Course_ID
1197,34466,UGRD,4075,Burnaby Campus,200,0,0,1,0,0,0,0,0,4074,NULL
1197,34771,UGRD,4075,Burnaby Campus,200,0,0,1,0,0,0,0,0,4074,NULL
1197,12583,UGRD,4076,Burnaby Campus,300,1,1,0,1,0,0,0,0,4076,NULL
1197,13658,UGRD,4076,Burnaby Campus,300,1,1,0,1,0,0,0,0,4076,NULL
1197,15781,UGRD,4076,Burnaby Campus,300,1,1,0,1,0,0,0,0,4076,NULL
1197,15788,UGRD,4076,Burnaby Campus,300,1,1,0,1,0,0,0,0,4076,NULL
1197,17864,UGRD,4076,Burnaby Campus,300,1,1,0,1,0,0,0,0,4076,NULL
1197,18210,UGRD,4076,Burnaby Campus,300,1,1,0,1,0,0,0,0,4076,NULL
1197,20009,UGRD,4076,Burnaby Campus,300,1,1,0,1,0,0,0,0,4076,NULL
1197,20356,UGRD,4076,Burnaby Campus,300,1,1,0,1,0,0,0,0,4076,NULL
1197,21892,UGRD,4076,Burnaby Campus,300,1,1,0,1,0,0,0,0,4076,NULL
1197,12583,UGRD,4077,Burnaby Campus,300,0,0,0,0,0,1,0,0,4076,NULL
1197,13658,UGRD,4077,Burnaby Campus,300,0,0,0,0,0,1,0,0,4076,NULL
1197,15781,UGRD,4077,Burnaby Campus,300,0,0,0,0,0,1,0,0,4076,NULL
1197,15788,UGRD,4077,Burnaby Campus,300,0,0,0,0,0,1,0,0,4076,NULL
1197,17864,UGRD,4077,Burnaby Campus,300,0,0,0,0,0,1,0,0,4076,NULL
1197,18210,UGRD,4077,Burnaby Campus,300,0,0,0,0,0,1,0,0,4076,NULL
1197,20009,UGRD,4077,Burnaby Campus,300,0,0,0,0,0,1,0,0,4076,NULL
1197,20356,UGRD,4077,Burnaby Campus,300,0,0,0,0,0,1,0,0,4076,NULL
1197,21892,UGRD,4077,Burnaby Campus,300,0,0,0,0,0,1,0,0,4076,NULL
1197,7925,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,12583,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,13658,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,14678,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,14994,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,15141,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,15781,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,15788,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,17864,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,18210,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,20009,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,20089,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,20356,UGRD,4078,Burnaby Campus,400,1,0,1,0,1,0,0,0,4078,NULL
1197,7925,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,12583,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,13658,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,14678,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,14994,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,15141,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,15781,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,15788,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,17864,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,18210,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,20009,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,20089,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,20356,UGRD,4079,Burnaby Campus,400,0,0,0,0,1,0,0,0,4078,NULL
1197,4698,UGRD,4080,Burnaby Campus,400,1,1,0,1,0,0,0,0,4080,NULL
1197,7925,UGRD,4080,Burnaby Campus,400,1,1,0,1,0,0,0,0,4080,NULL
1197,13658,UGRD,4080,Burnaby Campus,400,1,1,0,1,0,0,0,0,4080,NULL
1197,14994,UGRD,4080,Burnaby Campus,400,1,1,0,1,0,0,0,0,4080,NULL
1197,15141,UGRD,4080,Burnaby Campus,400,1,1,0,1,0,0,0,0,4080,NULL
